Iter, Time, Residual(RHO), CL, CD
    370,    1.43906906,  4.04447719e-02,    0.0792078883,    0.0258821496
    371,    1.44295539,  4.00742265e-02,    0.0792078891,    0.0258821497
    372,    1.44684171,  3.97061408e-02,    0.0792078898,    0.0258821497
    373,    1.45072804,  3.93405578e-02,    0.0792078904,    0.0258821498
    374,    1.45461436,  3.89775193e-02,    0.0792078910,    0.0258821498
    375,    1.45850069,  3.86170665e-02,    0.0792078915,    0.0258821498
    376,    1.46238702,  3.82592397e-02,    0.0792078919,    0.0258821499
    377,    1.46627334,  3.79040782e-02,    0.0792078923,    0.0258821499
    378,    1.47015967,  3.75516206e-02,    0.0792078927,    0.0258821499
    379,    1.47404600,  3.72019048e-02,    0.0792078931,    0.0258821500
    380,    1.47793232,  3.68549676e-02,    0.0792078934,    0.0258821500
    381,    1.48181865,  3.65108451e-02,    0.0792078936,    0.0258821500
    382,    1.48570498,  3.61695725e-02,    0.0792078939,    0.0258821500
    383,    1.48959130,  3.58311843e-02,    0.0792078941,    0.0258821500
    384,    1.49347763,  3.54957140e-02,    0.0792078943,    0.0258821501
    385,    1.49736395,  3.51631942e-02,    0.0792078945,    0.0258821501
